news_headline,news_article,news_category
Indian-American Raja Chari among 18 astronauts selected for next moon missions,"Indian-American astronaut Raja Chari is among the 18 astronauts selected to begin training for upcoming Artemis missions to the moon, NASA announced on Wednesday. The first woman and the next man on the moon will come from this group of 18 astronauts. ""Proud to be part of the team working to take humans to the moon to stay,"" Chari tweeted.",science
"Shoaib Malik's sports car crashes into truck in Lahore, pics of damaged car surface","Former Pakistan captain Shoaib Malik's sports car crashed into a truck parked outside Lahore's National High Performance Centre (NHPC) when the cricketer departed the Pakistan Super League (PSL) draft. Several pictures showing damage to the car have surfaced online. As per eyewitnesses, Malik was driving at a high speed before the car skidded on the road and hit the truck.",sports
Sisodia reaches Lucknow to debate on AAP vs BJP governance model,"Delhi Deputy CM Manish Sisodia, on Tuesday, reached Lucknow for an open debate to speak for Delhi CM Arvind Kejriwal's model of governance against UP CM Yogi Adityanath's model. ""BJP leaders have gotten perturbed ever since Arvind Kejriwal made an announcement that AAP is going to fight the upcoming Uttar Pradesh elections,"" Sisodia said.",politics
As promised: Elon Musk on Tesla's India entry,"Elon Musk has tweeted ""as promised"" in response to a news article about Tesla's entry into India. His response came after it was revealed that Tesla registered a new Indian subsidiary in Bengaluru and named its three directors. Last year, Elon Musk tweeted, ""Next year for sure,"" in response to a user enquiring about Tesla's India entry.",automobile
Aliens exist; they're in contact with US & Israel: Israel's ex-space security chief,"Aliens are real and secretly in contact with America and Israel but are keeping their existence quiet because ""humanity isn't ready"", said Haim Eshed, who headed Israel's space security programme for nearly 30 years. The 87-year-old further claimed there’s a ""Galactic Federation"" of aliens and their cooperation with the US includes a secret underground base on Mars.",science
Pucovski ruled out of 2nd warm-up match after being hit on helmet,Australia's Will Pucovski has been ruled out of the second warm-up match between Australia A and India A after the 22-year-old was hit on the helmet by a delivery from Kartik Tyagi on the last day of first warm-up match. Pucovski suffered a concussion and stayed down for over a minute after being hit. The match ended in a draw.,sports
BMW to build quarter of million more EVs than planned between 2021-23,"BMW is ""significantly increasing"" the number of EVs and plans to build ""a quarter of a million more electric cars than originally planned"" between 2021-2023, CEO Oliver Zipse said. BMW wants roughly every fifth car it sells to be powered by an electric engine by 2023, Zipse added. He also stressed the need to speed up charging infrastructure's expansion.",automobile
"Modi govt's apathy, arrogance has claimed lives of 60 farmers: Rahul","Congress leader Rahul Gandhi on Tuesday said that Modi government's apathy and arrogance have claimed lives of over 60 farmers. ""Instead of wiping their tears, GOI is busy attacking them with tear gas,"" Rahul said. He added, ""Such brutality, just to promote crony capitalists' business interests. Repeal the anti-farm laws.""",politics
Farmer unions accept govt proposal for next round of talks on Dec 30,"The Farmer unions on Tuesday wrote a letter to the Ministry of Agriculture and Farmers' Welfare accepting Centre's proposal to hold next round of talks on December 30. In the letter, the unions reiterated its four-point agenda, including modalities to repeal farm laws and a mechanism to bring a law for providing a legal guarantee on Minimum Support Price (MSP).",politics
Centre has turned J&K into a big jail: Mehbooba Mufti,"PDP President Mehbooba Mufti on Thursday said the Central government is using all its powers to oppress Kashmiris and has turned J&K into a jail. The party leaders were arrested on Thursday morning after they tried to stage a protest against land laws issued by the Centre. ""They are not allowing anyone to talk. Their approach is communal,"" Mufti added.",politics
Gupkar Alliance stronger today than when it was formed: Farooq Abdullah,"Jammu and Kashmir National Conference chairman Farooq Abdullah said that People's Alliance for Gupkar Declaration (PAGD) is ""much stronger"" today than when it was formed. ""We are united and we will continue to be united,"" Abdullah added. Notably, PAGD won 110 seats in the recently concluded District Development Council (DDC) polls in Jammu and Kashmir.",politics
TATA Motors introduces all-new 'Safari' built on OMEGARC platform,"TATA Motors has introduced the all-new 'Safari' built on OMEGARC, which is based on Land Rover D8 platform. The SUV draws a strong inspiration from the Safari lineage and enhances its pedigree of impeccable SUV stance, comfort, performance and robust build, TATA said. Safari is a true personification of luxury and power, it added.",automobile
Passenger vehicle retail sales grow by 24% in December: FADA,"Passenger vehicle (PV) retail sales in December rose by 24% year-on-year to 2,71,249 units, the Federation of Automobile Dealers Associations (FADA) said. Automobile registrations across the country grew by 11% in December from the year-ago period, showing positive growth for the first time in 2020-21, FADA added. Commercial vehicle sales fell 13.5% year-on-year to 51,454 units in December 2020.",automobile
Bengal govt will have to answer: Shah on attack on Nadda’s convoy,"Union Home Minister Amit Shah on Thursday, while reacting to the alleged attack on the convoy of BJP chief JP Nadda in West Bengal, said, ""Bengal government will have to answer to the...people of the state for this sponsored violence."" ""However much we condemn this incident, it is less. The central government is taking this attack very seriously,"" Shah added.",politics
2020 8th warmest year in India in 121 years: IMD,"The India Meteorological Department (IMD) has said that 2020 was the eighth warmest year India recorded in the last 121 years. Last year, the annual mean land surface air temperature average was 0.29°C above normal, for the period average considered between 1981 and 2010. However, it was much lower than 2016 (+0.71°C), which remains the warmest year recorded since 1901.",science
Who are the three directors in Tesla's new Indian subsidiary?,"Tesla has named Vaibhav Taneja, David Jon Feinstein and Venkatrangam Sreeram as directors in its newly-registered Indian subsidiary, Tesla India Motors and Energy. While Taneja is Tesla's Chief Accounting Officer, Feinstein is Senior Director, Global Trade & New Markets. Sreeram is a Bengaluru entrepreneur who has co-founded automotive tech companies Xenon Automotive and ClearQuote. ",automobile
"Uttarakhand BJP chief calls 79-yr-old Cong leader 'budhiya', criticised","Uttarakhand BJP chief Bansidhar Bhagat has received criticism from several Congress members after he called 79-year-old Congress leader Indira Hridayesh a ""budhiya"" (old woman). Bhagat, who was responding to Hridayesh's claims that several BJP workers were in touch with the Congress, had said, ""Why would they contact you, old woman? What would one want to do with a sinking ship?""",politics
Kolkata Municipal Corporation polls likely in March 2021: Official,"The Kolkata Municipal Corporation (KMC) elections​ are likely to be held in March 2021, senior officials of West Bengal State Election Commission said. ""As per the Supreme Court's directive, the state government has sent a communication to us saying that the KMC polls may be held within four weeks after the final electoral roll is adopted,"" an official said.",politics
Fiat Chrysler to invest $150 mn to set up digital hub in Hyderabad,"Fiat Chrysler Automobiles (FCA) has said it will invest $150 million to set up a global digital hub in Hyderabad. The investment will help create nearly 1,000 jobs by the end of 2021. ""One of the key objectives...is to digitalise every aspect of FCA's automotive operations globally and within India,"" Mamatha Chamarthi, CIO for North America and Asia-Pacific region, said.",automobile
"Nehra names his IPL Team of 2020, chooses Suryakumar over Kohli for no. 3","Ex-India pacer Ashish Nehra has named his IPL Team of 2020, with KL Rahul and David Warner as openers. Nehra mentioned he is choosing Suryakumar Yadav over Virat Kohli at number three as he scored ""impact runs"". Other players include AB de Villiers, Ishan Kishan, Hardik Pandya, Jofra Archer, Rashid Khan, Yuzvendra Chahal, Jasprit Bumrah and Ravichandran Ashwin/Mohammad Shami.",sports
AAP MP seeks Parliament’s special session to repeal 3 farm laws,"Amid the ongoing farmers' protest, AAP MP Bhagwant Mann on Friday said that he has sought a special session of Parliament to repeal the Centre's three farm laws. ""The Centre is maintaining a stubborn stance against farmers and their demands,"" he said. He added that if the government's intentions were clear, the issue would have been resolved in minutes.",politics
Can't have review after replays are on big screen: Aakash on denied DRS,"Cricketer turned commentator Aakash Chopra has said that the decision to deny DRS to India for the LBW appeal against Matthew Wade during the third T20I was ""right"". ""Can't have the review after the replays are on the big screen,"" he stated. However, Aakash also raised the question of whether the replay was played earlier than it should have been. ",sports
"I believe staying in the moment, Virat is our captain now: Rahane on captaining","On being asked about captaining India in the final three Tests against Australia, Test vice-captain Ajinkya Rahane said he'll think about it after the first Test. ""I believe staying in the moment...Right now, Virat is our captain. We think about this Test match and then after that when he leaves, we will think [about final three],"" he stated. ",sports
Doctors hear Mexican song while checking pulse in 65-year-old US man's feet,"A 65-year-old US man, who had undergone hip-replacement surgery, visited a hospital after experiencing a fall and dislocating his hip. When doctors assessed pulse in his feet using a Doppler device, they heard a Mexican song playing through the device's speaker. Doctors assume that Doppler might've picked up a radio signal that was being received by the patient's prosthetic hips.",science
India end their 7-match losing streak as Australia lose ODI in Canberra for 1st time,India defeated Australia by 13 runs in the third ODI in Canberra on Wednesday to end their seven-match losing streak in international cricket across all formats. This is the first time that Australia have lost an ODI in Canberra. Hardik Pandya top-scored for India in the match with 92*(76). The three-match Australia-India T20I series will begin on Friday.,sports
Pak denied training rights in NZ after 8 squad members test COVID-19 +ve ,New Zealand's Ministry of Health on Friday withdrew Pakistan cricket team's exemption to train during managed isolation in Christchurch. This comes after eight members of the 53-strong Pakistan squad tested positive for coronavirus since arriving in New Zealand. The Pakistan squad was also warned for breaching bio-security regulations last week.,sports
"5,000 insects released in Amsterdam to stop spread of Japanese knotweed","The Dutch government has released 5,000 Japanese leaf fleas in Amsterdam in an attempt to stop the spread of the invasive Japanese knotweed. Knotweed spreads rapidly and can cause damage to buildings, pipes and roads. Laboratory tests suggest the leaf fleas, known as Aphalara itadori, can kill young shoots and potentially stop the plant growing by sucking up its sap.",science
Aurangabad is Sambhajinagar for us and will remain so: Sanjay Raut,"Shiv Sena MP Sanjay Raut said that Aurangabad is Sambhajinagar and will remain so for the party amid opposition from Congress over renaming the district. ""It's a matter of people's feelings, so we can discuss it, but decision has been taken,"" he added. Shiv Sena in its mouthpiece Saamana said, large section of people are in favour of name change. ",politics
"Dilip Chhabria, arrested for ₹40-cr scam, accused of cheating by Kapil Sharma",Kapil Sharma has been summoned by Mumbai Police for his statement in connection with car designer Dilip Chhabria's alleged cheating and forgery case. He had filed a complaint against Chhabria for allegedly cheating him and has been called to record his statement as witness. Chhabria was arrested in DC Avanti car financing and forgery scam of at least ₹40 crore.,automobile
Tesla responsible for 2/3 of all my pain combined: Elon Musk,"Tesla CEO Elon Musk has tweeted, ""Tesla is responsible for 2/3 of all the personal & professional pain in my life combined. But it was worth it."" He added that at Tesla's start he thought it had ""(optimistically) a 10% chance of surviving at all"". Musk praised Tesla's team for producing and delivering nearly half a million cars in 2020.
",automobile
Shiv Sena-led coalition govt not affected by allegations: Sanjay Raut,"Shiv Sena MP Sanjay Raut has said that the Shiv Sena-led coalition government is too strong to be affected by allegations levelled by the Opposition against the Maha Vikas Aghadi leaders. ""As soon as something happens, [Opposition starts] demanding resignations...We too will have to demand the resignation of Prime Minister Narendra Modi every day over farmers' agitation,"" Raut said.",politics
His form important as he'll be captain after 1st Test: Aakash on Rahane's 117*,"After Ajinkya Rahane scored an unbeaten 117 off 242 balls in the first practice match against Australia A, cricketer-turned-commentator Aakash Chopra said that Rahane's form is important for India for the Tests against Australia. ""[It's important]...one as a batsman and the other as a captain...If the captain does not have personal form, then his confidence is down,"" he added. ",sports
Apple aiming to produce self-driving car by 2024: Report,"Apple is aiming for a 2024 launch for its self-driving passenger vehicle that could include its own breakthrough battery technology, Reuters reported. Apple's automotive unit, codenamed Project Titan, was started in 2014 with a former Tesla executive at its helm. Apple is also reportedly working on a new battery that would increase the vehicle’s range and also be ""radically"" cheaper.",automobile
"Expecting India to come out firing, not have any scars from Adelaide: Lyon","Ahead of the Boxing Day Test, Australia off-spinner Nathan Lyon feels India will ""come out firing and not have any scars"" from the first Test, when they were dismissed for 36. ""I don't think it will be that difficult. You look at the quality of players in the Indian side...Cricket's a new day, new game every time,"" Lyon said.",sports
"IPL shares pic of Rohit and Pant, Yuvraj trolls them over their fitness","The IPL tweeted a picture of MI captain Rohit Sharma and DC wicketkeeper-batsman Rishabh Pant with the caption, ""Still waiting for that six-hitting competition between Pant and Ro!"" Trolling the duo over fitness, Yuvraj commented, ""Or competition of fat percentage on their cheeks."" Yuvraj further wrote, ""It's like Ro is saying to Pant tere gaal jyada motey hain ya mere?""",sports
"Hats off to him: Gambhir on Kohli becoming fastest to hit 12,000 ODI runs","Former India opener Gautam Gambhir has praised Virat Kohli for becoming the fastest player to cross the 12,000 ODI-run mark, breaking Sachin Tendulkar's record by 58 innings. ""Hats off to Kohli,"" he stated. Kohli, who is also the fastest batsman to reach 8,000, 9,000, 10,000 and 11,000 ODI runs, took 242 innings to reach the milestone. ",sports
"Cummins, Lyon will cause problems for India on Day 3: Ponting","Former Australia captain Ricky Ponting has said that Australia pacer Pat Cummins and spinner Nathan Lyon will cause ""a few"" problems for India on the third day of the Sydney Test. ""Cummins' spell [on the second day] was as good a fast bowling (spell) as you'll see. He was challenging every ball with just enough sideways movement,"" he added. ",sports
DNA test to quickly identify secondary infections in COVID-19 patients made,"The University of Cambridge said scientists have developed a DNA test to quickly identify secondary infections in COVID-19 patients, who have double the risk of developing pneumonia while on ventilation than non-COVID-19 patients. The test gives doctors the information they need to start treatment within hours rather than days. It uses multiple PCR which detects the DNA of the bacteria.",science
"Wasim Jaffer shares 'hidden message' for keeper Pant ahead of 3rd Test, post viral","Ex-India opener Wasim Jaffer took to Twitter to share a 'hidden message' for Team India wicketkeeper Rishabh Pant ahead of the third Test against Australia. Sharing a collage of four pictures, Jaffer wrote, ""Easy one for you...Pant #decode...Cc: @ashwinravi99 @imjadeja."" Decoding the message, a fan tweeted, ""Pant should sing Butta Bomma when Ashwin and Jadeja are bowling and stump Warner.""",sports
Pygmy possum found on Australian island after fears of wipeout by bushfires,"A little pygmy possum has been found on Kangaroo Island for the first time since bushfires destroyed most of their habitat last year. The spotting comes after it was feared that the pygmy, one of the smallest possums in the world, were wiped out from the South Australian island. The tiny mammals are smaller than an adult's thumb.",science
Tesla to raise $5 billion as market cap crosses $600 billion,"Elon Musk-led Tesla on Tuesday announced that it will be raising $5 billion, marking its second capital raise in the last three months. The additional shares will be sold ""from time to time"" and ""at-the-market"" prices. Its shares are up nearly 670% this year with its market capitalisation crossing $600 billion. Tesla will join S&P 500 index later this month.",automobile
"Sourav Ganguly instigated Ind-Aus rivalry, put us on back foot: Brad Hogg","Former Australia spinner Brad Hogg has credited ex-India captain Sourav Ganguly for instigating the India-Australia rivalry. Hogg said Sourav was probably one of the first captains from India to adapt to their tactics of verbal duel and ""put the Australians on the back foot"". ""He tested Steve Waugh when he walked out little late for the coin toss,"" Hogg added.",sports
Elon Musk only $20 billion away from becoming the world's richest person,"Tesla CEO Elon Musk is now only $20 billion away from becoming the world's richest person overtaking Amazon CEO Jeff Bezos, according to Bloomberg. The 49-year-old's net worth jumped almost $9 billion to $167.3 billion on Friday as Tesla shares soared. He has added nearly $140 billion this year, which is more than the entire net worth of Bill Gates.",automobile
"No meaningful outcome of talks with China, status quo remains: Rajnath","Union Defence Minister Rajnath Singh on Wednesday said that no ""meaningful solution"" has come out of diplomatic and military level talks with China to resolve the standoff on the Line of Actual Control (LAC) in eastern Ladakh and there is ""status quo"". He added that if the status quo continues, there cannot be a reduction in the deployment of troops.",politics
US carmakers ask for government's help amid global chip shortage,"The AAPC, a lobbying organisation for GM, Ford Motor and US operations of FCA, has asked the US government to help find a solution to the global chip shortage. It said the issue could diminish automakers' production and affect the US economy negatively. AAPC President Matt Blunt said he has also begun ""nascent"" discussions with the President-elect Joe Biden's administration.",automobile
PDP leader held again after getting bail; Mehbooba Mufti says it's 'vendetta',"PDP leader Waheed Para, who was granted bail by an NIA court on Saturday, was arrested again on Monday by the Jammu and Kashmir Police. Para was arrested in a case related to an alleged nexus involving politicians, terrorists and secessionist forces, officials said. PDP chief Mehbooba Mufti said, ""This is purely political vendetta...for raising our voice against Delhi's onslaught.""",politics
"If Hardik is unfit, where is 6th bowling option: Gambhir","After India suffered defeat to Australia in the first ODI, former India opener Gautam Gambhir asked, ""If Hardik Pandya is not fit [to bowl], where is the sixth bowling option."" ""It's only Vijay Shankar that I can think of but does he have the same impact batting at number five or six...I have my doubts,"" he added.",sports
Sourav Ganguly wants to stay back for another day: Hospital,"BCCI President Sourav Ganguly, who is fit now and was scheduled to be discharged today from the hospital, will now be discharged on Thursday since he wants to stay back one more day, the hospital said. The former India captain underwent an angioplasty on January 2 after he was admitted to the hospital due to discomfort in his chest.",sports
Veteran Congress leader Motilal Vora passes away a day after his 93rd birthday,"Veteran Congress leader and former Madhya Pradesh CM Motilal Vora passed away on Monday, a day after celebrating his 93rd birthday. He was admitted to Fortis Escorts Hospital in Delhi due to urine infection, according to reports. The leader was infected with coronavirus but had recovered and got discharged in October.",politics
"Aus have Warner, Smith, Labuschagne this time: Tendulkar on Test series","Talking about the upcoming India-Australia Test series, Sachin Tendulkar said that the hosts have got three ""important players"" this time from the last time they played India. ""They have got David Warner who is back in the team, Steve Smith and Marnus Labuschagne,"" he stated. ""This is a far better squad compared to the earlier one,"" he added. ",sports
Assam's BTC poll results show people's faith in PM's leadership: Nadda,"BJP President JP Nadda said that Assam's Bodoland Territorial Council (BTC) poll results show people's faith in leadership and policies of PM Narendra Modi. He also congratulated NDA partner UPPL, Assam CM Sarbananda Sonowal and other state BJP leaders for ""securing clear majority"". While BJP has won nine seats, UPPL has won 12 seats in the polls.",politics
India's first human space flight mission to be delayed due to COVID-19: ISRO,"ISRO chairperson K Sivan said that Gaganyaan, India's first human space flight mission, ""will be delayed because of COVID-19"". India's first manned mission was scheduled for December 2021 ahead of PM Modi's deadline. The PM had said that an Indian astronaut will be sent to space before India celebrates its 75th year of Independence in 2022.",science
Ford cancels plan to give control of India business to Mahindra & Mahindra,"US carmaker Ford on Thursday said it is calling off its automotive joint venture with Mahindra and Mahindra due to the challenges caused by the pandemic. Under the deal, Ford was expected to transfer its local operations, including two factories, into a joint venture that would be majority-controlled by Mahindra. Ford said its independent operations in India will continue.",automobile
"Why does Cong surrender to China time and again, Nadda asks Rahul","Ahead of Rahul Gandhi's presser, BJP chief JP Nadda tweeted, ""Now that Mr Rahul has returned from his monthly vacation, I'd like to ask him some questions."" Nadda added, ""Can he deny that thousands of kms, including the one in Arunachal...was gifted by none other than Pandit Nehru to the Chinese? Time and again, why does Congress surrender to China?”",politics
Australia underestimated him: Ponting on Ashwin's 4/55,"On Ravichandran Ashwin producing his best bowling figures on Australian soil at Adelaide, former Australia captain Ricky Ponting said that Tim Paine-led side underestimated the off-spinner. ""They've looked to score their runs from him, and it's been their undoing,"" Ponting stated. Ashwin took four wickets in his 18 overs, giving 55 runs. ",sports
"2020 was faster than usual, broke record for shortest day 28 times: Scientists","The 28 fastest days on record all occurred in 2020, with Earth completing its rotations around its axis milliseconds quicker than average, scientists said. The shortest day was July 19, when Earth completed one spin 1.4602 milliseconds faster than 86,400 seconds. Before 2020, the shortest day was noted on July 5, 2005, when the Earth's rotation was 1.0516 milliseconds faster.",science
"2020 was faster than usual, broke record for shortest day 28 times: Scientists","The 28 fastest days on record all occurred in 2020, with Earth completing its rotations around its axis milliseconds quicker than average, scientists said. The shortest day was July 19, when Earth completed one spin 1.4602 milliseconds faster than 86,400 seconds. Before 2020, the shortest day was noted on July 5, 2005, when the Earth's rotation was 1.0516 milliseconds faster.",science
TMC MP says he's not leaving party after meeting with WB CM's nephew Abhishek Banerjee,"TMC MP Prasun Banerjee said that he's not leaving the party and urged those with grievances to ""sink differences and work unitedly to fight BJP"" in Assembly polls. This came after he held meeting with TMC MP and CM Mamata Banerjee's nephew Abhishek Banerjee. Recently, disgruntled TMC MP Satabdi Roy also decided to stay in party after meeting with Abhishek.",politics
"Tesla looking for sale, charging sites in Mumbai: Report","Elon Musk-led Tesla has launched an extensive exercise to look for sites for sale and marketing of its electric cars which will be imported initially, reported The Free Press Journal. The company will also reportedly speak to Tata Power and Adani Electricity for its charging facilities. The company has also sought the intervention of the Maharashtra government, it reported.",automobile
Nissan considering 34% stake sale in Mitsubishi: Reports,"Nissan Motor may sell some or all of its 34% stake in Mitsubishi Motors as it foresees struggling to recover from COVID-19-induced downturns, Bloomberg reported. Nissan could also possibly sell the stake to a Mitsubishi Group company. Nissan, which is 43% owned by Renault, last week cut its operating loss forecast for the year to March by 28%.",automobile
We will never forget cowardly attack on Parliament in 2001: PM Modi,"PM Narendra Modi on Sunday said the country will never forget the ""cowardly attack on our Parliament"" in 2001 and paid tributes to security personnel who sacrificed their lives in the attack. The Parliament was adjourned at the time of the attack, but several parliamentarians and staff were present inside the building. All five terrorists were killed outside the building.",politics
Anti-conversion laws in BJP states unconstitutional: AIMIM chief,"AIMIM chief Asaduddin Owaisi has said that ordinances issued by some BJP-ruled states against religious conversion violate the Constitution. ""Why don't you [BJP] make a law on providing MSP to the farmers that's the need of the hour,"" he added. This comes after Uttar Pradesh and Madhya Pradesh cleared ordinances against religious conversion through fraudulent means, including those for marriage.",politics
Tesla asks US safety agency to declare speed display issue inconsequential,"Elon Musk-led Tesla asked the US National Highway Traffic Safety Administration (NHTSA) to declare its speed display issue as inconsequential to safety, reported Reuters. Over six lakh Tesla vehicles do not comply with safety standards because displays can be switched from miles per hour to only metric measurements. Tesla said a majority of vehicles have since corrected the issue.",automobile
Maxwell is mini in IPL but becomes max when he plays for Aus: Aakash,"Talking about Glenn Maxwell's performance in the two ODIs against India, cricketer-turned-commentator Aakash Chopra said the Australia batsman is ""mini"" in IPL but becomes ""max"" when he plays international cricket. ""Indian [bowlers] need...to play with his ego because he is an egoistic player...India should try to get him out right from the outset,"" he added. ",sports
World no. 2 Simona Halep tests positive for COVID-19,"World number two women's singles player Simona Halep on Saturday announced that she has tested positive for coronavirus. ""I wanted to let you know that I tested positive for COVID-19. I am self-isolating at home and am recovering well from mild symptoms,"" she tweeted. The 29-year-old won the Wimbledon in 2019 and the French Open in 2018. ",sports
"Tata Motors tweets 'tere mere pyaar ke charche' amid Tesla tie-up rumours, deletes it","Tata Motors Electric Mobility, a division of Tata Motors, on Friday tweeted, ""Aajkal tere mere pyaar ke charche har akhbaar mein, sabko malum hai aur sabko khabar ho gayi!"", while tagging Elon Musk and Tesla, amid rumours of a joint venture between the two. The account, though unverified, is followed by Tata Motors' official handle. The tweet was deleted later.",automobile
SpaceX launches updated Dragon cargo ship to the ISS for 1st time,SpaceX has launched the first flight of the updated cargo version of Dragon spacecraft to the ISS with NASA's cargo. This version is capable of carrying about 20% more volume than the previous one and has double the amount of powered locker cargo capability. It has been designed for up to five flights to and from the ISS.,science
Puerto Rico commits $8 mn to rebuild collapsed Arecibo telescope,"Puerto Rico Governor Wanda Vázquez Garced has signed an executive order approving $8 million to rebuild the world's second largest radio telescope at the Arecibo Observatory. The order stated the reconstruction as a matter of ""public policy"". The Governor has also declared the observatory site a historic zone. The telescope had collapsed due to structural problems on December 1. ",science
Will Pucovski suffered shoulder subluxation injury at SCG: Cricket Australia,"Providing an update on Australia batsman Will Pucovski's injury, Cricket Australia (CA) said that the 22-year-old suffered a shoulder subluxation injury while diving in the field on the final day of the Sydney Test. ""He will continue rest and rehabilitation over the next two days before a decision is made on his fitness for the fourth Test match,"" CA stated. ",sports
" If anyone offers you money for your vote, take it: Mamata Banerjee ","West Bengal CM Mamata Banerjee on Tuesday said that the people of the state should take money for their vote if offered. Banerjee said that she has been ""seeing for a few days that some people are being sent by BJP to create disturbance in our meetings. Now, I will send some people to disturb BJP, CPM meetings"".",politics
Kapil Dev reveals how he proposed to his wife in a car in Mumbai,"Kapil Dev, in a recent episode of #NoFilterNeha, revealed he proposed to his wife Romi in a car in Mumbai. Kapil said he saw a ""big hoarding"" of an advertisement featuring him and told Romi to take a photo to show to their children. ""Romi then asked, 'Are you proposing?' I told her, ""What does it sound like?"" Kapil added.",sports
"Paolo Rossi, who won 1982 FIFA World Cup with Italy, dies at 64","Ex-Italian footballer Paolo Rossi, who guided his national team to victory in the 1982 World Cup died at the age of 64. The news of Rossi's death was first reported by Italian media on Thursday, later his wife confirmed it on Instagram. Rossi scored six goals in the 1982 edition after he almost missed the tournament due to a ban.",sports
"Ritu Phogat remains undefeated, wins her fourth MMA bout on the trot","Ritu Phogat on Friday notched up her fourth consecutive MMA win to take her career record to 4-0. She defeated Jomary Torres of Philippines via Technical Knock Out in the ONE Championship atomweight (52.2kg) match. This was Ritu's second MMA bout in just over a month. Earlier, she had fought against Cambodia's Nou Srey Pov on October 30.",sports
"Players feeling pressure, we thought we might qualify easily: DC's Kaif","After they suffered their fourth straight defeat in IPL, DC's Assistant Coach Mohammad Kaif has said that the players are feeling ""a bit of pressure"". ""We didn't expect that it might come down to net run-rate, we thought we might qualify easily, now we've to fight it out,"" he added. DC had won seven of their nine initial matches. ",sports
Bhaskaracharya found gravitational theory 500 yrs before Newton: Nepal PM,"Nepalese Prime Minister KP Sharma Oli told WION that Bhaskaracharya discovered the theory of gravitation about ""500 years"" before Issac Newton in 1150 AD. He added that Bhaskaracharya's book was published in 1210 AD. Oli said that even in his coursebook he was told that Newton found out the theory of gravitation. ",science
Despite series loss I couldn’t be any happier for Natarajan: Warner,"Australia's David Warner said 'he couldn't be any happier' for his Sunrisers Hyderabad teammate T Natarajan even though Australia lost the T20I series against India. ""From being on the tour as a net bowler to debuting ODI/T20I for India what an achievement buddy well done,"" Warner said. ""Such a nice guy and just loves the game so much,"" Warner added.",sports
"Chip shortage forces Ford, Toyota, Nissan to cut vehicle production","Ford, Toyota, Fiat Chrysler and Nissan said that they would cut vehicle production this month due to a shortage of semiconductors. Honda has also said its output in Japan could be affected by a shortage of semiconductors. Ford said it will idle its Louisville assembly plant. Fiat Chrysler will be delaying the restart of production at its Toluca plant.",automobile
Nobody is above law: Maharashtra minister after son-in-law's arrest by NCB,"A day after the Narcotics Control Bureau (NCB) arrested his son-in-law in a drug case, Maharashtra Cabinet Minister Nawab Malik said nobody is above the law and the law should be applied without any discrimination. Without mentioning the arrest, Malik tweeted, ""Law will take its due course and justice will prevail. I respect and have immense faith in our judiciary.""",politics
US family welcomes baby born from embryo frozen for 27 years,"A US family revealed they welcomed a baby girl in late October this year from an embryo that was frozen in October 1992 and remained frozen until February this year. In February, Tina and Ben Gibson of Tennessee adopted the embryo. The National Embryo Donation Center claims it set the record for the longest-frozen embryo to ever come to birth.",science
Distressed to see news about rioting and violence in Washington DC: PM Modi,"Prime Minister Narendra Modi on Thursday tweeted, ""Distressed to see news about rioting and violence in Washington DC. Orderly and peaceful transfer of power must continue."" He added, ""The democratic process cannot be allowed to be subverted through unlawful protests."" This comes after US President Donald Trump's supporters stormed the US Capitol and disrupted electoral count.",politics
UP govt to take back 173 acres of land of Azam Khan's Jauhar Trust,"Rampur district administration has passed an order to take back 173 acres of land of Jauhar Trust, headed by SP leader Azam Khan and his family, and register it in Uttar Pradesh government's name. The court found that the trust was not following conditions set by the UP government during sale of the land in 2005, ADGC (Revenue) said.",politics
"Actress Manasi Naik, dubbed Aishwarya's lookalike, marries boxer Pardeep Kharera","Marathi actress Manasi Naik, who is also known for her TikTok videos and often referred to as Aishwarya Rai Bachchan's lookalike, got married to boxer Pardeep Kharera. The actress shared pictures of her wedding on social media and captioned the post, ""Mr and Mrs Kharera"". The couple got married in Pune. 
",sports
"Hyundai, Kia agree to $210M US penalty for delay in vehicles' recall","Hyundai and Kia Motors have agreed to $140 million and $70 million civil penalties, respectively, after US auto safety regulators said they delayed recall of 1.6 million vehicles for engine issues. The settlement covers recall in 2015 and 2017 for manufacturing issues. Kia denied the allegations but agreed to settle the matter to ""avoid a protracted dispute with the government"".",automobile
"Whenever Cummins bowls against Pujara, it seems he'll get him out: Agarkar","After Pat Cummins dismissed Cheteshwar Pujara for the fourth time in the ongoing Test series, ex-India pacer Ajit Agarkar said that whenever Cummins bowls against Pujara, it seems he'll get him out. ""Australia bowlers have bowled very well against Pujara. If you see the field as well...they have not given the chance to him in this series,"" he added. ",sports
Michael Schumacher's son Mick to race for Haas in 2021 F1 season,"Mick Schumacher, son of seven-time world champion Michael Schumacher, will be racing for Haas in the next Formula One season. The 21-year-old German signed a multi-year agreement and will partner Russian Nikita Mazepin. ""The prospect of being on the Formula One grid next year makes me incredibly happy...I'm simply speechless,"" said Mick. He is currently leading the Formula Two championship.",sports
